date, danger_below, danger_near, danger_above
2013-12-31,1,2,2
2013-12-30,1,2,2
2013-12-29,1,2,2
2013-12-28,1,2,2
2013-12-27,1,2,2
2013-12-26,1,2,2
2013-12-25,1,2,2
2013-12-24,1,2,2
2013-12-23,1,3,3
2014-12-31,2,2,2
2014-12-30,2,2,3
2014-12-29,2,3,3
2014-12-28,2,3,3
2014-12-27,2,2,2
2014-12-26,2,3,3
2014-12-25,3,3,3
2014-12-24,3,3,3
2014-12-23,3,3,4
2014-12-22,4,4,4
2014-12-21,3,4,3
2014-12-20,1,3,2
2014-12-19,1,2,2
2014-12-18,1,2,2
2014-12-17,1,2,2
2014-12-16,2,2,2
2014-12-15,2,2,2
2014-12-14,2,2,2
2014-12-13,1,3,1
2014-12-12,1,1,1
2014-12-11,1,1,1
2014-12-10,1,1,1
2014-12-09,1,1,1
2014-12-08,1,1,1
2014-12-07,1,1,1
2014-12-06,1,2,2
2014-12-05,1,2,2
2014-12-04,1,2,2
2014-12-03,1,2,2
2014-12-02,1,2,2
2014-12-01,1,2,2
2014-11-30,1,2,2
2014-11-29,2,2,2
2014-11-28,2,2,2
2014-11-27,2,2,3
2014-11-26,2,3,3
2014-11-25,2,3,3
2014-11-24,2,3,3
2014-11-23,2,3,3
2014-11-22,1,3,2
2014-11-21,1,2,2
2014-11-20,1,2,2
2014-11-19,1,2,2
2014-11-18,2,2,2
2014-09-04,2,2,2
2014-06-10,2,2,2
2014-04-27,2,2,2
2014-04-20,2,2,2
2014-04-19,1,2,2
2014-04-18,1,2,2
2014-04-17,1,2,2
2014-04-16,1,2,2
2014-04-15,1,2,3
2014-04-14,1,2,2
2014-04-13,1,2,2
2014-04-12,1,2,2
2014-04-11,1,2,2
2014-04-10,1,2,2
2014-04-09,1,2,2
2014-04-08,1,1,2
2014-04-07,1,2,2
2014-04-06,1,2,2
2014-04-05,1,2,2
2014-04-04,2,2,2
2014-04-03,2,2,3
2014-04-02,1,3,2
2014-04-01,1,2,2
2014-03-31,1,3,3
2014-03-30,2,3,2
2014-03-29,2,3,3
2014-03-28,2,3,3
2014-03-27,2,3,3
2014-03-26,1,2,2
2014-03-25,1,2,2
2014-03-24,1,2,2
2014-03-23,1,2,2
2014-03-22,1,2,2
2014-03-21,1,2,2
2014-03-20,1,2,2
2014-03-19,1,2,2
2014-03-18,1,2,2
2014-03-17,1,2,2
2014-03-16,1,2,2
2014-03-15,1,2,2
2014-03-14,1,2,2
2014-03-13,1,2,2
2014-03-12,2,2,2
2014-03-11,2,2,2
2014-03-10,2,2,2
2014-03-09,2,2,2
2014-03-08,3,3,3
2014-03-07,2,2,2
2014-03-06,2,2,2
2014-03-05,2,2,2
2014-03-04,2,2,2
2014-03-03,2,3,3
2014-03-02,3,3,3
2014-03-01,2,3,3
2014-02-28,2,3,3
2014-02-27,2,3,2
2014-02-26,2,2,2
2014-02-25,2,2,2
2014-02-24,2,3,3
2014-02-23,2,3,3
2014-02-22,2,3,3
2014-02-21,2,3,3
2014-02-20,2,3,3
2014-02-19,2,3,3
2014-02-18,3,3,3
2014-02-17,3,3,3
2014-02-16,3,3,3
2014-02-15,3,3,4
2014-02-14,3,3,4
2014-02-13,3,3,3
2014-02-12,3,4,3
2014-02-11,3,4,4
2014-02-10,3,4,4
2014-02-09,3,4,4
2014-02-08,3,4,4
2014-02-07,2,4,3
2014-02-06,2,3,3
2014-02-05,2,3,3
2014-02-04,3,3,3
2014-02-03,3,3,3
2014-02-02,3,3,3
2014-02-01,3,3,3
2014-01-31,3,3,4
2014-01-30,4,4,4
2014-01-29,2,4,2
2014-01-28,2,2,3
2014-01-27,1,2,2
2014-01-26,1,1,2
2014-01-25,1,2,2
2014-01-24,2,2,2
2014-01-23,2,2,2
2014-01-22,2,2,2
2014-01-21,2,2,3
2014-01-20,2,3,3
2014-01-19,3,3,3
2014-01-18,3,3,3
2014-01-17,3,3,3
2014-01-16,3,3,3
2014-01-15,3,3,3
2014-01-14,3,3,3
2014-01-13,3,3,3
2014-01-12,3,3,3
2014-01-11,3,3,3
2014-01-10,3,3,3
2014-01-09,2,3,3
2014-01-08,2,3,3
2014-01-07,2,3,3
2014-01-06,3,3,3
2014-01-05,3,3,3
2014-01-04,3,3,3
2014-01-03,2,3,3
2014-01-02,2,3,3
2014-01-01,2,3,3
2015-12-31,2,2,2
2015-12-30,2,2,2
2015-12-29,2,2,2
2015-12-28,2,2,2
2015-12-27,2,2,2
2015-12-26,2,2,3
2015-12-25,3,3,3
2015-12-24,3,3,3
2015-12-23,3,3,3
2015-12-22,3,3,3
2015-12-21,2,3,2
2015-12-20,1,2,2
2015-12-19,1,2,2
2015-12-18,1,2,2
2015-12-17,2,2,3
2015-12-16,2,3,3
2015-12-15,2,3,3
2015-12-14,1,3,2
2015-12-13,1,2,2
2015-12-12,1,2,2
2015-12-11,1,2,2
2015-12-10,1,2,2
2015-12-09,1,2,2
2015-12-08,1,2,2
2015-12-07,1,2,2
2015-12-06,1,2,2
2015-12-05,1,2,2
2015-12-04,1,2,2
2015-12-03,1,2,2
2015-12-02,1,2,2
2015-12-01,1,2,2
2015-11-30,1,2,2
2015-11-29,1,2,2
2015-11-28,1,2,2
2015-11-27,1,2,2
2015-11-26,1,2,2
2015-11-25,1,2,2
2015-11-24,1,2,2
2015-11-23,1,2,2
2015-11-22,1,2,2
2015-11-21,1,2,2
2015-11-20,1,2,2
2015-11-19,1,2,2
2015-11-18,1,3,3
2015-11-17,2,3,3
2015-11-16,1,3,2
2015-11-15,1,2,2
2015-11-14,1,2,2
2015-11-13,1,2,2
2015-04-22,0,0,0
2015-04-05,1,1,1
2015-04-04,2,1,2
2015-04-03,1,2,2
2015-04-02,1,2,1
2015-04-01,2,1,1
2015-03-31,2,1,1
2015-03-30,2,1,1
2015-03-29,2,1,1
2015-03-28,2,1,1
2015-03-27,1,2,2
2015-03-26,1,2,2
2015-03-25,1,2,2
2015-03-24,1,2,2
2015-03-23,2,2,2
2015-03-22,3,2,2
2015-03-21,3,2,2
2015-03-20,2,2,2
2015-03-19,2,2,2
2015-03-18,2,2,2
2015-03-17,2,2,2
2015-03-16,1,1,1
2015-03-15,1,1,2
2015-03-14,1,2,2
2015-03-13,1,2,2
2015-03-12,1,2,2
2015-03-11,2,2,2
2015-03-10,2,2,2
2015-03-09,2,2,2
2015-03-08,2,2,2
2015-03-07,2,2,3
2015-03-06,2,3,3
2015-03-05,2,3,3
2015-03-04,2,3,3
2015-03-03,2,3,3
2015-03-02,2,3,3
2015-03-01,2,3,3
2015-02-28,2,3,3
2015-02-27,2,3,3
2015-02-26,2,3,3
2015-02-25,2,3,3
2015-02-24,2,3,3
2015-02-23,3,3,3
2015-02-22,3,3,3
2015-02-21,2,4,3
2015-02-20,1,3,2
2015-02-19,1,2,2
2015-02-18,1,2,2
2015-02-17,2,2,2
