date,zone_id,activity,caught,buried,killed
2017-02-14,0,sm,2,1,1
2017-01-12,0,sk,1,0,0
2019-12-15,0,sb,2,1,0
2016-12-11,0,sm,1,2,0
2013-12-31,0,sb,1,1,1
2019-12-08,0,sk,1,1,1
2020-01-22,1,sk,1,0,0
2018-10-15,1,ft,1,0,0
2013-11-21,1,ft,1,0,0
2020-01-19,1,ft,1,0,0
2013-11-24,1,ft,1,0,0
2018-02-11,1,sk,1,0,0
2016-02-21,1,sb,1,0,0
2018-12-18,1,sk,1,0,0
2019-03-07,1,sk,2,1,1
2020-01-24,1,sk,1,0,0
2016-01-22,1,sb,0,0,1
2020-02-10,1,sk,2,0,0
2016-01-25,1,sk,1,0,0
2013-12-27,1,sk,1,0,0
2014-12-31,1,ss,1,1,1
2019-03-23,1,ft,4,0,0
2020-02-15,2,sm,3,2,2
2015-12-19,2,sk,1,0,0
2015-11-21,2,sk,1,0,0
2019-11-28,2,sk,1,0,0
2014-01-02,2,sk,6,0,0
2020-04-10,2,sm,1,1,1
2019-03-07,2,vh,5,0,0
2018-02-08,2,sb,1,0,0
2016-03-19,2,sm,1,0,0
2014-02-10,2,sk,2,1,1
2016-03-21,2,ft,1,0,0
2014-01-07,2,sk,4,0,1
2015-05-31,2,sb,1,0,0
2016-03-19,2,sk,2,0,0
2015-03-05,2,sk,2,0,0
2013-12-22,2,sk,1,0,0
2016-01-22,3,sk,1,1,0
2018-01-14,3,sk,1,0,0
2016-02-05,3,sm,1,0,1
2019-01-17,3,sm,1,1,0
2014-02-15,3,sk,5,3,2
2016-01-16,3,sk,2,0,0
2020-02-11,3,sm,1,0,0
2018-03-07,3,sk,1,0,0
2018-12-14,3,sk,0,0,0
2018-11-02,3,sk,1,0,0
2015-01-01,4,sc,1,0,0
2018-04-08,4,sk,2,0,1
2018-11-24,4,sk,0,1,0
2015-02-23,4,sk,1,1,1
2015-05-03,4,sk,1,0,0
2015-03-17,4,sk,1,0,0
2019-01-11,4,sk,2,0,0
2017-11-18,4,sb,1,0,0
2019-01-21,4,sk,1,1,1
2015-05-17,4,sk,2,0,0
2019-03-09,5,**,0,2,1
2019-03-08,5,**,0,1,0
2018-02-19,5,sk,2,0,0
2019-12-01,5,sk,1,0,0
2014-02-10,5,sm,2,1,1
2018-11-25,5,sk,0,0,0
2016-01-21,5,sm,2,1,1
2018-12-06,5,sk,3,0,0
2019-02-16,5,sk,2,2,2
2014-11-03,5,ft,2,0,0
2014-12-18,5,sk,1,0,0
2017-02-03,5,sk,1,0,0
2016-12-12,5,sm,1,1,0
2018-12-16,7,sm,2,0,0
2020-03-31,7,sk,1,0,0
2015-01-06,7,sk,1,0,1
2015-11-25,7,sk,2,0,0
2014-03-16,7,sk,1,0,0
2019-01-21,7,sk,0,1,0
2019-03-03,7,sk,1,1,1
2020-03-24,7,sb,1,0,0
2020-03-20,7,sb,2,0,0
2018-01-21,7,sk,2,0,1
2016-02-13,7,sk,2,0,0
2016-01-02,7,sk,1,0,0
2019-11-30,7,ss,2,0,0
2019-01-03,7,ss,3,0,0
2016-04-03,7,sk,2,0,0
2019-02-19,7,sk,1,1,1
2019-03-12,7,**,3,0,0
2019-01-05,7,sk,6,1,1
2020-01-18,7,ft,1,1,1
2018-02-20,7,sb,2,1,0
2014-03-04,8,sk,1,1,1
2016-02-02,8,sm,2,1,1
2014-03-05,8,sm,1,1,1
